descripcion_limpia,categorias
Doctor,Salud
Starbucks,Alimentacion
Cablebus,Transporte
Cafeteria local,Alimentacion
Trolebus,Transporte
Starbucks,Alimentacion
Boleto de autobus,Transporte
Recarga tarjeta metro,Transporte
Microbus,Transporte
Comida rapida,Alimentacion
Tren suburbano,Transporte
Comida rapida,Alimentacion
Trolebus,Transporte
Microbus,Transporte
Cena en restaurante,Alimentacion
Metrobus,Transporte
Recarga tarjeta metro,Transporte
Comida rapida,Alimentacion
Microbus,Transporte
Comida rapida,Alimentacion
Cablebus,Transporte
Mexibus,Transporte
Tren suburbano,Transporte
Metrobus,Transporte
Te y galletas,Alimentacion
Taxi,Transporte
Starbucks,Alimentacion
Boleto de autobus,Transporte
Visita guiada,Ocio
Trolebus,Transporte
Te y galletas,Alimentacion
Despensa quincenal,Alimentacion
Taxi,Transporte
Taxi,Transporte
Matcha latte,Alimentacion
Cablebus,Transporte
Starbucks,Alimentacion
Starbucks,Alimentacion
Cablebus,Transporte
Taxi,Transporte
Compra en supermercado,Alimentacion
Boleto de autobus,Transporte
Despensa quincenal,Alimentacion
Cena en restaurante,Alimentacion
Microbus,Transporte
Taxi,Transporte
Recibo de luz,Servicios
Matcha latte,Alimentacion
Microbus,Transporte
Recarga tarjeta metro,Transporte
Trolebus,Transporte
Consulta medica,Salud
Taxi,Transporte
Cafeteria local,Alimentacion
Metrobus,Transporte
Boleto de autobus,Transporte
Te y galletas,Alimentacion
Taxi,Transporte
Mexibus,Transporte
Taxi,Transporte
Te y galletas,Alimentacion
Cablebus,Transporte
Matcha latte,Alimentacion
Reloj,Ocio
Panaderia,Alimentacion
Gorra,Ocio
Matcha latte,Alimentacion
Cafeteria local,Alimentacion
Mexibus,Transporte
Cena en restaurante,Alimentacion
Mexibus,Transporte
Microbus,Transporte
Tren suburbano,Transporte
Despensa quincenal,Alimentacion
Obra de teatro,Ocio
Te y galletas,Alimentacion
Boleto de autobus,Transporte
Compra en supermercado,Alimentacion
Cena en restaurante,Alimentacion
Recarga tarjeta metro,Transporte
Boleto de autobus,Transporte
Cafe espresso,Alimentacion
Microbus,Transporte
Trolebus,Transporte
Ciclismo,Ocio
Farmacia,Salud
Trolebus,Transporte
Microbus,Transporte
Microbus,Transporte
Recarga tarjeta metro,Transporte
Cartera,Ocio
Spa,Ocio
Cena en restaurante,Alimentacion
Te y galletas,Alimentacion
Boleto de autobus,Transporte
Matcha latte,Alimentacion
Cafeteria local,Alimentacion
Mexibus,Transporte
Compra en supermercado,Alimentacion
Metrobus,Transporte
Spa,Ocio
Comida rapida,Alimentacion
Taxi,Transporte
Comida rapida,Alimentacion
Tren suburbano,Transporte
Farmacia,Salud
Ciclismo,Ocio
Microbus,Transporte
Cena en restaurante,Alimentacion
Te y galletas,Alimentacion
Compra en supermercado,Alimentacion
Recarga tarjeta metro,Transporte
Recarga tarjeta metro,Transporte
Tren suburbano,Transporte
Panaderia,Alimentacion
Trolebus,Transporte
Boleto de autobus,Transporte
Cafeteria local,Alimentacion
Cena en restaurante,Alimentacion
Mexibus,Transporte
Mexibus,Transporte
Trolebus,Transporte
Panaderia,Alimentacion
Boleto de autobus,Transporte
Perfume,Ocio
Cafeteria local,Alimentacion
Crema,Ocio
Boleto de autobus,Transporte
Starbucks,Alimentacion
Taxi,Transporte
Cablebus,Transporte
Recarga tarjeta metro,Transporte
Patinaje,Ocio
Tren suburbano,Transporte
Doctor,Salud
